YYYYMMDD,PRECIPITATION,MEAN TEMP
20150610,0.39,78.5
20150611,0.00001,78.5
20150612,0,80
20150613,0,82
20150614,0,82
20150615,0,81.5
20150616,0.00001,85.5
20150617,0.00001,85.5
20150618,0.00001,85.5
20150619,0,83.5
20150620,0,85.5
20150621,0,85.5
20150622,0.15,85.5
20150623,0.11,82.5
20150624,0.43,82
20150625,0.28,80
20150626,0.39,80
20150627,0.1,81
20150628,0.57,81.5
20150629,0.22,79
20150630,0.00001,80.5
20150701,0.04,80.5
20150702,0.17,80.5
20150703,0.00001,81.5
20150704,0.53,79.5
20150705,0.54,80.5
20150706,0.01,78.5
20150707,0.27,80.5
20150708,1.26,80.5
20150709,0,82
20150710,0.25,84
20150711,0.09,85
20150712,0.53,85.5
20150713,0.15,83
20150714,0.00001,83.5
20150715,0.13,78.5
20150716,0,81.5
20150717,0.19,83.5
20150718,0.12,83.5
20150719,0,85
20150720,0.35,81
20150721,0.02,82.5
20150722,0,85.5
20150723,0.2,84
20150724,0.54,82
20150725,0.08,81
20150726,1.89,81
20150727,0.00001,82.5
20150728,0,82
20150729,0.71,84
20150730,0.02,81.5
20150731,0,81.5
20150801,1.57,77
20150802,0.5,79.5
20150803,1.78,79.5
20150804,0.02,80
20150805,0.16,81
20150806,0.00001,81.5
20150807,1.43,79
20150808,0.00001,82.5
20150809,0,83
20150810,0,82
20150811,0,82
20150812,0.00001,83
20150813,0.41,81
20150814,0.00001,81.5
20150815,0.01,80
20150816,0.42,81.5
20150817,1.53,79.5
20150818,0,81.5
20150819,0.00001,82.5
20150820,0,82.5
20150821,0,83.5
20150822,0,84.5
20150823,0.5,83
20150824,0.01,80
20150825,0,83.5
20150826,1.13,82.5
20150827,0.00001,79
20150828,0.00001,81.5
20150829,0.15,79
20150830,1.81,80.5
20150831,0.05,81
20150901,0.12,80.5
20150902,0,82
20150903,0,83
20150904,0.26,82
20150905,0.01,80
20150906,0.56,78.5
20150907,1.66,78.5
20150908,0.02,80.5
20150909,0,80.5
20150910,0.00001,80.5
20150911,0,82.5
20150912,2.01,76
20150913,0,74.5
20150914,0,73.5
